author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,narrative_status,conflict,harmony,partition,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,text_place_title,place_name,location_religion,relig_att_loc,geolocation,mentioned,location_name,location_country,short_description,wkt,locational_certainty,geometry,administrative_area,pub_year,gender_author,country_of_birth_author,author_birth_location,text_place_id,character_id,text_id,location_id,author_id,author_birth_id
"Singh, Kushwant",Train to Pakistan,126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",NA,NA,NA,NA,Singh,Juggut,NA,9,Male,Single,Sikh,Speculation,NA,NA,NA,NA,NA,Present,Sutlej River in Train to Pakistan,Sutlej River,Unknown,Other-identified.Narrator other-attributed,CREATED,NA,Mano Majra,India,A fictional town on the border of India and Pakistan,NA,2. Probable location,Area,10 Village/Civic Ward,1956,Male,Pakistan,Hadali,128,112,28,119,26,27
"Singh, Kushwant",Train to Pakistan,126,12,12,1,"Juggut Singh stretched out his hands over his head and behind him, groping;",NA,NA,NA,NA,Nooran,Unknown,NA,9,Female,Single,Muslim,Other-identified.Character other-attributed,NA,NA,NA,NA,NA,Present,Sutlej River in Train to Pakistan,Sutlej River,Unknown,Other-identified.Narrator other-attributed,CREATED,NA,Mano Majra,India,A fictional town on the border of India and Pakistan,NA,2. Probable location,Area,10 Village/Civic Ward,1956,Male,Pakistan,Hadali,128,118,28,119,26,27
"Sahni, Bhisham",Tamas,135,137,137,1,"'We want numbers, only numbers! Why don't you understand?",NA,NA,NA,TRUE,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,136,34,NA,32,33
"Sahni, Bhisham",Tamas,138,137,137,2,"But Kartar Singh, seated across the table from him",NA,Religion,NA,TRUE,Singh,Kartar,NA,137,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,139,34,NA,32,33
"Sahni, Bhisham",Tamas,138,137,137,2,"But Kartar Singh, seated across the table from him",NA,Religion,NA,TRUE,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,136,34,NA,32,33
"Sahni, Bhisham",Tamas,140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',NA,NA,NA,TRUE,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,136,34,NA,32,33
"Sahni, Bhisham",Tamas,140,137,138,3,'Name?' 'Harnam Singh.' 'Father's name?' 'Sardar Gur Dayal Singh',NA,NA,NA,TRUE,Singh,Harnam,NA,99,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,141,34,NA,32,33
"Sahni, Bhisham",Tamas,142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",NA,NA,NA,TRUE,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,136,34,NA,32,33
"Sahni, Bhisham",Tamas,142,138,139,1,"'Oh, Babu ji, who knows if my Sukhwant really jumped into",NA,NA,NA,TRUE,Refugee 1,Unknown,NA,138,Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,143,34,NA,32,33
"Sahni, Bhisham",Tamas,144,139,140,1,Statistics Babu was still standing on the balcony when,NA,Interpersonal,NA,TRUE,Relief Committee,Statistics Babu,NA,137,Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,Relief Committee Office in Tamas,Relief Committee Office,Unknown,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1974,Male,Pakistan,Rawalpindi,137,136,34,NA,32,33
